_id,APPLICATION_DATE,COMPLETED_DATE,DESCRIPTION,GREEN_ROOF_AREA,GREEN_ROOF_VARIATION_AREA,ISSUED_DATE,PERMIT_NUM,PERMIT_TYPE,POSTAL,REVISION_NUM,STATUS,STREET_DIRECTION,STREET_NAME,STREET_NUM,STREET_TYPE,STRUCTURE_TYPE
48466,2010-02-18,2010-11-29,"Revision No.1: To construct a rear one storey and two-storey addition at the rear of an existing 2-storey detached SFD + second-storey addition over existing attached garage + green roof over new one-storey addition + basement finish.  
To construct a rear one-storey and two-storey addition to the existing two-storey single family detached dwelling. 

",18.36,,2010-03-25,03 141785,Small Residential Projects,M8Y,1,Closed, ,SOUTH KINGSLEA,4,DR,SFD - Detached
48467,2010-12-06,,"Revision: Proposal to construct new green roof (Area 14, 667.61 sq.ft.) to existing addition.
Permit for new addition to ROTMAN MANAGEMENT SCHOOL - U of T.  New 9 Storey building plus mechanical penthouse - attached to existing Rotman Building. ***Green Roof shall be cover by serparate building permit****
See 08 195689 ZAL, 09 110461 MV, 09 117439 STE, for PAL, C of A and Site plan, as well as existing building permit 09152753 BLD to demolish rear portion of existing heritage building",375,0.0,2011-02-11,09 176602,New Building,M5S,1,Revision Issued, ,ST GEORGE,97,ST,University
48468,2010-02-08,,Construct 8 storey mixed use building with 2 levels of underground parking garage. There will be retail/commercial uses on the ground floor and floors 2 through to 8 will be residential (192 residential units).,615,0.0,2012-06-18,10 115481,New Building,M5A,0,Inspection,E,KING,510,ST,Mixed Use/Res w Non Res
48469,2010-02-18,2015-11-09,Interior alterations to all floors of existing office building and replace roof top mechanical units.  See interior demo 10 107307 and COA A0087/10TEY.,1470,0.0,2010-06-04,10 120075,Building Additions/Alterations,M5B,0,Closed, ,JARVIS,222,ST,Office
48470,2010-03-12,2015-01-07,Construct new 13 storey mixed use condo tower (134 residential units) and 3 retail units at grade level.  3 levels of underground parking,300,,2012-08-16,10 131477,New Building,   ,0,Closed,W,DUNDAS,5101,ST,Apartment Building
48471,2010-03-15,2017-07-14,"To construct a new 21 storey, 237 unit apartment building with ancillary parking and amenity area.",0,348.47,2011-03-01,10 132321,New Building,M9R,0,Closed, ,RICHGROVE,7-21,DR,Apartment Building
48472,2010-03-25,,"34 storey mixed use building containing 478 residential dwelling units, 3 floors of non-residential uses and 5 levels of underground parking.
",1317,0.0,2021-03-31,10 139082,New Building,M2N,0,Permit Issued, ,YONGE,4917-4975,ST,Apartment Building
48473,2010-04-20,2015-06-09,Permit for to install green roof on second floor terrace roof of existing office building - (all office space) Landscape architects drawings and structural drawings included.,270,0.0,2010-05-19,10 155366,Building Additions/Alterations,M5H,0,Closed,W,KING,200,ST,Office
48474,2010-04-20,,Crescent School - 3 storey addition and partial basement classroom wing addition attached to the centre for creative learning.,275,0.0,2010-08-06,10 155781,Building Additions/Alterations,M2L,0,Inspection, ,BAYVIEW,2365,AVE,Secondary School
48475,2010-07-09,2017-11-17,PHASE 2 Regent Park Revitalization -Building permit -  26 storey (plus 1 storey penthouse) condo with 4 storey podium - Dwelling units 283 - parking spaces - 268 parkings spaces (159 residential units) - Additional 84 Parking spaces ( Application also includes Arts and Cultural Centre ( 3 Storeys) - PLEASE NOTE NEW DRAWINGS SUBMITTED ON DEC 7 2010,2195,0.0,2012-04-12,10 216000,New Building,M5T,0,Closed,E,DUNDAS,591,ST,Mixed Use/Res w Non Res
